PRODUCTO,LOTE,TOTAL,,PRODUCTO,LOTE,TOTAL
AMANTINA 250 ML,AM0141,99,,AMINOÁCIDOS 1 L,AO0295,440
AMANTINA 500 ML,AM0140,560,,AMINOÁCIDOS 1 L,AO296,150
AMANTINA 500 ML,AM0141,1528,,AMINOÁCIDOS 50 ML ,AO296,180
AMANTINA PREMIUM 100 ML,AP0060,0,,AMINOÁCIDOS INYECTABLE 100ML,AI0031,400
AMANTINA PREMIUM 250 ML,AP0034,0,,AMINOÁCIDOS INYECTABLE 250ML,AI0031,312
AMANTINA PREMIUM 500 ML,AP0081,435,,ANTITERMICO 1L,AT0017,708
AMINOÁCIDOS 1 L,AO0295,426,,COMPLEJO B B12 B15 100 ML,CB0094,1386
AMINOÁCIDOS 1 L AVES,AO0282,36,,COMPLEJO B B12 B15 100 ML,CB0095,3150
AMINOÁCIDOS 20 ML,AO0248,0,,COMPLEJO B HIERRO 100 ML,HB0030,756
AMINOÁCIDOS 5 L,AO0294,95,,COMPLEJO B HIERRO 25 ML,HB0029,450
AMINOÁCIDOS 50 ML GALLO,AO0294,201,,JERINGA ATP 35 GR,EN0116,3492
AMINOÁCIDOS 50 ML MASCOTA,AO0294,114,,OLIFAMISOL 500ML,OF0008,120
ANTITÉRMICO 1 L,AT0015,0,,OLIVITASAN 100 ML,OL0909,1764
CALCITROVIT 500 ML,CV0018,0,,OLIVITASAN 300 ML,OL0917,290
CETRI-AMON 1 L  ,CA0131,30,,SUPERCOMPLEJO B 1L,SC0014,465
CETRI-AMON 5 L,CA0131,74,,VITAMINA B1 100 ML,VB0017,1890
COMPLEJO B B12 B15 100 ML,CB0094,319,,VITAMINA B12 100ML,BB0005,630
COMPLEJO B B12 B15 20 ML,CB0092,138,,,,
COMPLEJO B B12 B15 250 ML,CB0093,359,,,,
COMPLEJO B HIERRO CERDOS 100 ML,HB0030,219,,,,
COMPLEJO B HIERRO CERDOS 25 ML,HB0025,280,,,,
COMPLEJO B HIERRO EQUINO 25 ML,HB0028,137,,,,
COMPLEJO B HIERRO EQUINOS 100 ML,HB0030,1739,,,,
ENERGIZANTE 100 ML,EN0129,960,,,,
ENERGIZANTE 100 ML,EN0131,1320,,,,
ENERGIZANTE 25 ML,EN0124,89,,,,
ENERGIZANTE 250 ML,EN0131,541,,,,
ENERGIZANTE 250 ML VACAS,EN0129,144,,,,
ENERGIZANTE 500 ML,EN0122,0,,,,
IVERSAN 500 ML,IV0038,0,,,,
JERINGA ATP 35 GR,EN0116,112,,,,
OLIVITASAN 100 ML,OL0909,734,,,,
OLIVITASAN 25 ML,OL0910,195,,,,
OLIVITASAN 300 ML,OL0910,85,,,,
OLIVITASAN 500 ML,OL0916,1340,,,,
OLIVITASAN 500 ML,OL0919,1020,,,,
OLIVITASAN PLUS 250 ML,PL0605,480,,,,
OLIVITASAN PLUS 50 ML,PL0578,46,,,,
OLIVITASAN PLUS 500 ML,PL0603,0,,,,
OLIVITASAN PLUS 500 ML,PL0605,900,,,,
SUPERCOMPLEJO B 1 L AVES,SC0014,80,,,,
SUPERCOMPLEJO B 1 L EQUINO,SC0014,46,,,,
TILCOSAN 100 ML,TM0036,625,,,,
TILCOSAN 250 ML,TM0038,2517,,,,
VITAMINA B1 100 ML,VB0017,289,,,,
VITAMINA B12 100 ML,BB005,272,,,,
VITAMINA B12 50 ML,BB005,20,,,,